epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.037,1.31066,1.38051,0.95267,0.387,0.31459,0.30521,0.18817,1.19822,1.01013,0.90576,0.00332921,0.00332921,0.00332921
2,371.621,1.30847,1.08846,0.92816,0.47312,0.32785,0.32949,0.20817,1.18442,1.03187,0.90865,0.00659659,0.00659659,0.00659659
3,551.134,1.36229,1.10796,0.93993,0.40031,0.32313,0.3046,0.1898,1.20384,1.06338,0.91612,0.00979796,0.00979796,0.00979796
4,731.991,1.36534,1.09955,0.94812,0.41336,0.31976,0.31548,0.19405,1.21511,1.01451,0.92205,0.009703,0.009703,0.009703
5,920.467,1.32834,1.05999,0.94062,0.45241,0.35122,0.34582,0.21367,1.19618,0.96979,0.92198,0.009604,0.009604,0.009604
6,1108.52,1.30149,1.01781,0.93241,0.43365,0.34771,0.33686,0.2098,1.17295,0.96552,0.91146,0.009505,0.009505,0.009505
7,1291.84,1.28091,0.9986,0.92861,0.44967,0.35592,0.35038,0.21965,1.17233,0.95184,0.90968,0.009406,0.009406,0.009406
8,1475.7,1.25833,0.97192,0.9227,0.47579,0.36644,0.36688,0.23236,1.14472,0.92262,0.90833,0.009307,0.009307,0.009307
9,1664.08,1.23911,0.95318,0.91792,0.45213,0.36994,0.36266,0.23118,1.13204,0.93593,0.90483,0.009208,0.009208,0.009208
10,1849.67,1.23116,0.93229,0.91528,0.49928,0.36517,0.37474,0.23987,1.12639,0.90849,0.90133,0.009109,0.009109,0.009109
11,2034.76,1.21657,0.91725,0.91415,0.45878,0.38781,0.37737,0.24312,1.11934,0.89638,0.9002,0.00901,0.00901,0.00901
12,2219.11,1.20426,0.90701,0.9086,0.48407,0.38988,0.39119,0.24991,1.09966,0.88035,0.89274,0.008911,0.008911,0.008911
13,2399.12,1.20053,0.89379,0.90929,0.49405,0.38702,0.38849,0.24568,1.09506,0.87967,0.89396,0.008812,0.008812,0.008812
14,2578.52,1.18173,0.87206,0.90489,0.50969,0.39232,0.39675,0.25527,1.09416,0.86777,0.89406,0.008713,0.008713,0.008713
15,2758.51,1.17934,0.87388,0.90405,0.49754,0.38663,0.3949,0.2519,1.0958,0.871,0.89165,0.008614,0.008614,0.008614
16,2938.38,1.16377,0.85532,0.90113,0.51071,0.38281,0.39668,0.2567,1.0831,0.86571,0.89163,0.008515,0.008515,0.008515
17,3118.77,1.16635,0.85073,0.9024,0.50357,0.4016,0.41096,0.26533,1.07552,0.84217,0.88893,0.008416,0.008416,0.008416
18,3299.47,1.15917,0.83824,0.89884,0.50641,0.40743,0.41406,0.2674,1.07457,0.84024,0.88905,0.008317,0.008317,0.008317
19,3479.5,1.14583,0.83084,0.89525,0.52559,0.38604,0.40801,0.26395,1.07651,0.85529,0.8881,0.008218,0.008218,0.008218
20,3658.91,1.13526,0.82096,0.89613,0.50858,0.40678,0.41382,0.2687,1.06505,0.84152,0.88527,0.008119,0.008119,0.008119
21,3839.06,1.14211,0.82058,0.89572,0.52732,0.40245,0.42255,0.27405,1.0663,0.82336,0.88726,0.00802,0.00802,0.00802
22,4018.4,1.13428,0.80831,0.89567,0.51279,0.41013,0.41854,0.27226,1.05957,0.83169,0.88432,0.007921,0.007921,0.007921
23,4197.95,1.12605,0.80109,0.89077,0.52128,0.42839,0.43437,0.27835,1.0586,0.8172,0.88341,0.007822,0.007822,0.007822
24,4377.82,1.11611,0.7901,0.88968,0.55005,0.41063,0.43343,0.2812,1.06048,0.82133,0.88457,0.007723,0.007723,0.007723
25,4558.01,1.11644,0.79016,0.88925,0.53013,0.41308,0.42885,0.27441,1.06321,0.82028,0.88405,0.007624,0.007624,0.007624
26,4737.46,1.11067,0.78425,0.89094,0.52439,0.42233,0.42928,0.27753,1.0534,0.81582,0.88264,0.007525,0.007525,0.007525
27,4917.06,1.10149,0.77613,0.88655,0.54711,0.413,0.43222,0.2804,1.04059,0.80974,0.8802,0.007426,0.007426,0.007426
28,5096.85,1.10082,0.77128,0.88729,0.52284,0.42415,0.43404,0.28253,1.04268,0.7999,0.8805,0.007327,0.007327,0.007327
29,5276.45,1.1021,0.76901,0.8854,0.54868,0.42715,0.43906,0.28442,1.0433,0.80499,0.87972,0.007228,0.007228,0.007228
30,5456.7,1.09509,0.76018,0.88521,0.55302,0.42663,0.44299,0.28884,1.04,0.79164,0.87895,0.007129,0.007129,0.007129
31,5636.43,1.08981,0.75522,0.8844,0.54632,0.42149,0.43837,0.28501,1.03715,0.80105,0.87928,0.00703,0.00703,0.00703
32,5836.4,1.0876,0.75132,0.88148,0.5549,0.42397,0.44729,0.29031,1.03583,0.79222,0.87828,0.006931,0.006931,0.006931
33,6082.11,1.08064,0.74708,0.88215,0.55435,0.42841,0.44838,0.29155,1.03707,0.79241,0.87805,0.006832,0.006832,0.006832
34,176.039,1.07521,0.73655,0.87862,0.54014,0.4329,0.44731,0.29021,1.03068,0.78757,0.87497,0.006733,0.006733,0.006733
35,354.957,1.07572,0.73811,0.87968,0.53499,0.43477,0.44483,0.29077,1.03915,0.79222,0.87977,0.006634,0.006634,0.006634
36,532.425,1.07165,0.73011,0.87876,0.55832,0.43149,0.4485,0.28964,1.03128,0.78808,0.8757,0.006535,0.006535,0.006535
37,711.802,1.06446,0.72263,0.87836,0.56604,0.42287,0.44779,0.29024,1.0296,0.77917,0.87608,0.006436,0.006436,0.006436
38,895.56,1.06228,0.72032,0.87799,0.55408,0.44354,0.45405,0.29604,1.02968,0.78223,0.87507,0.006337,0.006337,0.006337
39,1079.43,1.06455,0.71565,0.87792,0.54549,0.44003,0.44825,0.29181,1.02725,0.78874,0.87769,0.006238,0.006238,0.006238
40,1262.9,1.06014,0.71438,0.87672,0.53856,0.44265,0.45218,0.2929,1.03076,0.78642,0.87597,0.006139,0.006139,0.006139
41,1446.57,1.05292,0.70856,0.87466,0.57582,0.42783,0.45547,0.29671,1.02274,0.77793,0.87849,0.00604,0.00604,0.00604
42,1630.85,1.04998,0.70405,0.8742,0.55115,0.44009,0.45582,0.29854,1.02199,0.77833,0.87614,0.005941,0.005941,0.005941
43,1814.42,1.04747,0.69678,0.87385,0.56237,0.44126,0.45529,0.29727,1.02311,0.78282,0.874,0.005842,0.005842,0.005842
44,1998.15,1.04468,0.69806,0.87369,0.55671,0.43615,0.45016,0.29463,1.02225,0.77852,0.87453,0.005743,0.005743,0.005743
45,2182.12,1.04272,0.69208,0.87118,0.55143,0.43635,0.45111,0.29314,1.02787,0.77478,0.87595,0.005644,0.005644,0.005644
46,2365.89,1.04343,0.68696,0.87229,0.55075,0.43651,0.45133,0.29354,1.02527,0.77983,0.87524,0.005545,0.005545,0.005545
47,2549.69,1.0323,0.67638,0.87022,0.55691,0.43638,0.45656,0.29959,1.02063,0.77305,0.87489,0.005446,0.005446,0.005446
48,2733.52,1.03304,0.67881,0.87012,0.54256,0.44715,0.45428,0.29645,1.02287,0.77193,0.87463,0.005347,0.005347,0.005347
49,2917.47,1.02564,0.67115,0.86848,0.56065,0.44889,0.46108,0.30008,1.02094,0.76632,0.87398,0.005248,0.005248,0.005248
50,3101.27,1.02903,0.67012,0.8701,0.54214,0.45341,0.45876,0.29873,1.022,0.77465,0.87574,0.005149,0.005149,0.005149
51,3285.54,1.027,0.66535,0.86843,0.55098,0.44926,0.45722,0.29787,1.02112,0.77633,0.87568,0.00505,0.00505,0.00505
52,3469.2,1.01816,0.66104,0.86552,0.5657,0.43977,0.45771,0.29885,1.02584,0.77591,0.87832,0.004951,0.004951,0.004951
53,3653.4,1.00978,0.65289,0.86726,0.55356,0.44554,0.46162,0.30139,1.02336,0.77401,0.87672,0.004852,0.004852,0.004852
54,3837.33,1.01896,0.65472,0.86656,0.56773,0.44113,0.45954,0.29966,1.02393,0.77444,0.87771,0.004753,0.004753,0.004753
55,4021.33,1.01292,0.64566,0.86704,0.55568,0.4466,0.45799,0.29823,1.02251,0.77886,0.87577,0.004654,0.004654,0.004654
56,4205.43,1.00766,0.6433,0.8637,0.55471,0.4397,0.45424,0.29614,1.02091,0.77318,0.87555,0.004555,0.004555,0.004555
57,4389.55,1.00235,0.63774,0.86374,0.56869,0.44347,0.45988,0.29908,1.01966,0.76812,0.87668,0.004456,0.004456,0.004456
58,4575.96,1.00194,0.63571,0.86306,0.55492,0.45606,0.46082,0.29941,1.0225,0.76783,0.87663,0.004357,0.004357,0.004357
59,4768.07,0.99787,0.63264,0.86459,0.57106,0.4436,0.46446,0.30158,1.01727,0.76183,0.87462,0.004258,0.004258,0.004258
60,4964.04,0.99345,0.62633,0.8618,0.58435,0.44203,0.46344,0.30067,1.01716,0.76579,0.87426,0.004159,0.004159,0.004159
61,5157.98,0.99247,0.62205,0.86226,0.56757,0.44666,0.46119,0.29902,1.01714,0.76742,0.87415,0.00406,0.00406,0.00406
62,5350.71,0.99394,0.62235,0.8612,0.55919,0.45175,0.4604,0.29759,1.0221,0.7735,0.87569,0.003961,0.003961,0.003961
63,5543.13,0.98705,0.61526,0.86011,0.56372,0.44994,0.46061,0.30131,1.0175,0.77176,0.8739,0.003862,0.003862,0.003862
64,5736.61,0.98317,0.61317,0.86026,0.55688,0.45034,0.46083,0.30185,1.01706,0.76942,0.87395,0.003763,0.003763,0.003763
65,5929.31,0.98563,0.61234,0.85789,0.54823,0.44529,0.45778,0.29821,1.01927,0.77537,0.8734,0.003664,0.003664,0.003664
66,6121.89,0.97592,0.60547,0.85763,0.56828,0.447,0.46319,0.30161,1.01661,0.76828,0.87318,0.003565,0.003565,0.003565
67,6315.53,0.98933,0.61536,0.86017,0.57481,0.44846,0.46654,0.30387,1.01677,0.76647,0.87393,0.003466,0.003466,0.003466
68,6508.74,0.98166,0.6089,0.85855,0.55238,0.45117,0.46074,0.29975,1.01639,0.76802,0.87307,0.003367,0.003367,0.003367
69,6703.4,0.97807,0.60743,0.85872,0.56217,0.45337,0.46498,0.30273,1.01354,0.76619,0.87361,0.003268,0.003268,0.003268
70,6897.18,0.97809,0.60413,0.85849,0.57403,0.44363,0.46265,0.30153,1.01392,0.77373,0.87353,0.003169,0.003169,0.003169
71,7091.1,0.97169,0.59568,0.8565,0.57205,0.44695,0.46098,0.2999,1.013,0.77646,0.87298,0.00307,0.00307,0.00307
72,7281,0.9698,0.59271,0.85765,0.56164,0.4506,0.46153,0.2994,1.0143,0.7726,0.87153,0.002971,0.002971,0.002971
73,7469.9,0.96318,0.58794,0.85691,0.56906,0.44656,0.4618,0.29955,1.01441,0.77612,0.87248,0.002872,0.002872,0.002872
74,7655.26,0.96542,0.58523,0.85487,0.56525,0.4509,0.46141,0.3003,1.01321,0.77227,0.87216,0.002773,0.002773,0.002773
75,7840.92,0.96346,0.58372,0.85522,0.56011,0.44795,0.45858,0.29886,1.01404,0.77806,0.87213,0.002674,0.002674,0.002674
76,8025.97,0.95386,0.57699,0.85459,0.5564,0.4568,0.45911,0.29849,1.01304,0.77939,0.87172,0.002575,0.002575,0.002575
77,8211.3,0.95556,0.57745,0.85268,0.54811,0.46122,0.46283,0.30129,1.01345,0.77947,0.87161,0.002476,0.002476,0.002476
78,8396.45,0.95621,0.57503,0.85335,0.56288,0.45117,0.46198,0.30098,1.01457,0.78041,0.8717,0.002377,0.002377,0.002377
79,8581.56,0.95222,0.57145,0.85186,0.55979,0.45766,0.46184,0.30021,1.01698,0.77922,0.87226,0.002278,0.002278,0.002278
80,8767.02,0.95626,0.56739,0.85307,0.56946,0.4506,0.46115,0.30018,1.01657,0.78034,0.87378,0.002179,0.002179,0.002179
81,8952.22,0.95502,0.5682,0.85282,0.57958,0.4434,0.46115,0.29978,1.01701,0.77863,0.87392,0.00208,0.00208,0.00208
82,9137.4,0.94641,0.56276,0.85143,0.57613,0.44293,0.46012,0.29965,1.01828,0.78361,0.87524,0.001981,0.001981,0.001981
83,9322.54,0.93988,0.5581,0.85101,0.57766,0.44351,0.46142,0.30146,1.01679,0.78417,0.87387,0.001882,0.001882,0.001882
84,9507.58,0.93405,0.55107,0.84964,0.58568,0.43764,0.4605,0.30015,1.0207,0.78708,0.87603,0.001783,0.001783,0.001783
85,9692.64,0.93134,0.54727,0.84823,0.57026,0.44837,0.46285,0.30218,1.02135,0.78577,0.87578,0.001684,0.001684,0.001684
86,9877.78,0.93322,0.54646,0.84889,0.56423,0.45125,0.46352,0.30273,1.02099,0.78408,0.87613,0.001585,0.001585,0.001585
87,10063.1,0.92889,0.54422,0.84888,0.56769,0.44445,0.4621,0.3016,1.0212,0.7862,0.87671,0.001486,0.001486,0.001486
88,10248.2,0.92336,0.53953,0.84669,0.56262,0.44756,0.46005,0.30086,1.02041,0.78778,0.8765,0.001387,0.001387,0.001387
89,10433.2,0.9224,0.53753,0.84694,0.55102,0.4582,0.45973,0.29971,1.02088,0.78614,0.87664,0.001288,0.001288,0.001288
90,10618.3,0.92408,0.53684,0.84709,0.56409,0.45148,0.45984,0.29997,1.02039,0.7858,0.87593,0.001189,0.001189,0.001189
91,10850.6,0.90825,0.51741,0.84573,0.57269,0.44628,0.45952,0.29983,1.02109,0.78583,0.8757,0.00109,0.00109,0.00109
92,11032.3,0.89972,0.50935,0.84291,0.56513,0.44792,0.45801,0.29864,1.02378,0.78778,0.8758,0.000991,0.000991,0.000991
93,11214.2,0.89829,0.5066,0.8432,0.57603,0.4432,0.45786,0.29823,1.02781,0.79325,0.87614,0.000892,0.000892,0.000892
94,11396.7,0.89284,0.50014,0.84151,0.56174,0.44704,0.45749,0.29881,1.02821,0.79456,0.87642,0.000793,0.000793,0.000793
95,11578.9,0.89312,0.49817,0.84165,0.56484,0.44531,0.45769,0.29771,1.02846,0.79582,0.87664,0.000694,0.000694,0.000694
96,11760.7,0.88699,0.49363,0.8402,0.56657,0.44719,0.45829,0.29759,1.03012,0.79777,0.87713,0.000595,0.000595,0.000595
97,11942.7,0.8852,0.49135,0.83931,0.56351,0.44717,0.45757,0.29705,1.0314,0.80044,0.87743,0.000496,0.000496,0.000496
98,12124.7,0.88412,0.48821,0.83959,0.55438,0.4517,0.4576,0.29667,1.03208,0.80213,0.87838,0.000397,0.000397,0.000397
99,12306.9,0.88135,0.48796,0.83958,0.55415,0.45064,0.45724,0.29646,1.0315,0.80237,0.87874,0.000298,0.000298,0.000298
100,12489,0.87628,0.481,0.83844,0.55628,0.45041,0.45708,0.29653,1.03224,0.80351,0.87904,0.000199,0.000199,0.000199
